Species,CommonName,DecayClass,AbsoluteDensity,RelativeDensity,StructuralReductionFactor,CarbonConversionFactor,
Abies lasiocarpa,Subalpine fir,0,0.31,0.31,NA,0.493,
Abies lasiocarpa,Subalpine fir,1,0.371,1,1,0.498,
Abies lasiocarpa,Subalpine fir,2,0.288,0.929,1,0.501,
Abies lasiocarpa,Subalpine fir,3,0.233,0.752,1,0.498,
Abies lasiocarpa,Subalpine fir,4,0.152,0.49,0.8,0.501,
Abies lasiocarpa,Subalpine fir,5,0.117,0.011,0.412,0.521,
Picea glauca,White spruce,0,0.37,0.37,NA,0.493,
Picea glauca,White spruce,1,0.393,0.998,1,0.496,
Picea glauca,White spruce,2,0.312,0.858,1,0.498,
Picea glauca,White spruce,3,0.28,0.745,1,0.505,
Picea glauca,White spruce,4,0.155,0.426,0.8,0.527,
Picea glauca,White spruce,5,0.129,0.347,0.412,0.535,
Picea engelmannii,Engelmann spruce,0,0.33,0.33,NA,0.493,
Picea engelmannii,Engelmann spruce,1,0.393,0.916,1,0.496,
Picea engelmannii,Engelmann spruce,2,0.258,0.782,1,0.498,
Picea engelmannii,Engelmann spruce,3,0.28,0.745,1,0.505,
Picea engelmannii,Engelmann spruce,4,0.117,0.355,0.8,0.521,
Picea engelmannii,Engelmann spruce,5,0.129,0.347,0.412,0.535,
Picea engelmannii x glauca,Hybrid spruce,0,0.35,0.35,NA,0.493,
Picea engelmannii x glauca,Hybrid spruce,1,0.393,0.957,1,0.496,
Picea engelmannii x glauca,Hybrid spruce,2,0.285,0.82,1,0.498,
Picea engelmannii x glauca,Hybrid spruce,3,0.28,0.745,1,0.505,
Picea engelmannii x glauca,Hybrid spruce,4,0.136,0.3905,0.8,0.521,
Picea engelmannii x glauca,Hybrid spruce,5,0.129,0.347,0.412,0.535,
Pinus contorta,Lodgepole pine,0,0.38,0.38,NA,0.493,
Pinus contorta,Lodgepole pine,1,0.378,0.977,1,0.497,
Pinus contorta,Lodgepole pine,2,0.367,0.956,1,0.496,
Pinus contorta,Lodgepole pine,3,0.276,0.809,1,0.499,
Pinus contorta,Lodgepole pine,4,0.169,0.512,0.8,0.519,
Pinus contorta,Lodgepole pine,5,0.164,0.432,0.412,0.526,
Betula papyrifera,Paper birch,0,0.48,0.48,NA,0.472,
Betula papyrifera,Paper birch,1,0.469,0.977,1,0.478,
Betula papyrifera,Paper birch,2,0.403,0.66,1,0.477,
Betula papyrifera,Paper birch,3,0.352,0.733,1,0.481,
Betula papyrifera,Paper birch,4,0.17,0.309,0.8,0.474,
Betula papyrifera,Paper birch,5,0.11,0.2,0.412,0.473,
Populus tremuloides,Trembling aspen,0,0.35,0.35,NA,0.472,
Populus tremuloides,Trembling aspen,1,0.353,0.967,1,0.488,
Populus tremuloides,Trembling aspen,2,0.422,0.734,1,0.489,
Populus tremuloides,Trembling aspen,3,0.299,0.819,1,0.495,
Populus tremuloides,Trembling aspen,4,0.16,0.432,0.8,0.465,
Populus tremuloides,Trembling aspen,5,0.11,0.297,0.412,0.473,
Populus balsamifera,Black cottonwood,0,0.31,0.31,NA,0.472,
Populus balsamifera,Black cottonwood,1,0.353,0.967,1,0.478,
Populus balsamifera,Black cottonwood,2,0.422,0.734,1,0.477,
Populus balsamifera,Black cottonwood,3,0.299,0.819,1,0.481,
Populus balsamifera,Black cottonwood,4,0.16,0.432,0.8,0.474,
Populus balsamifera,Black cottonwood,5,0.11,0.297,0.412,0.473,
Abies amabilis,Amabilis fir,0,0.4,0.4,NA,0.485,
Abies amabilis,Amabilis fir,1,0.36,0.9,1,0.487,
Abies amabilis,Amabilis fir,2,0.332,0.83,1,0.485,
Abies amabilis,Amabilis fir,3,0.212,0.604,1,0.505,
Abies amabilis,Amabilis fir,4,0.142,0.404,0.8,0.521,
Abies amabilis,Amabilis fir,5,0.106,0.309,0.412,0.535,
Tsuga heterophylla,Western hemlock,0,0.42,0.42,NA,0.486,
Tsuga heterophylla,Western hemlock,1,0.399,0.89,1,0.484,
Tsuga heterophylla,Western hemlock,2,0.346,0.767,1,0.498,
Tsuga heterophylla,Western hemlock,3,0.258,0.636,1,0.515,
Tsuga heterophylla,Western hemlock,4,0.166,0.425,0.8,0.534,
Tsuga heterophylla,Western hemlock,5,0.108,0.332,0.412,0.57,
Thuja plicata,Western red cedar,0,0.31,0.31,NA,0.493,
Thuja plicata,Western red cedar,1,0.318,1,1,0.496,
Thuja plicata,Western red cedar,2,0.259,0.835,1,0.498,
Thuja plicata,Western red cedar,3,0.248,0.8,1,0.505,
Thuja plicata,Western red cedar,4,0.132,0.462,0.8,0.521,
Thuja plicata,Western red cedar,5,0.143,0.461,0.412,0.535,
Pseudotsuga menziesii,Douglas fir,0,0.45,0.45,NA,0.489,
Pseudotsuga menziesii,Douglas fir,1,0.386,0.858,1,0.488,
Pseudotsuga menziesii,Douglas fir,2,0.308,0.723,1,0.499,
Pseudotsuga menziesii,Douglas fir,3,0.152,0.444,1,0.495,
Pseudotsuga menziesii,Douglas fir,4,0.123,0.305,0.8,0.539,
Pseudotsuga menziesii,Douglas fir,5,0.148,0.329,0.412,0.558,
Larix occidentalis,Western larch,0,0.48,0.48,NA,0.493,
Larix occidentalis,Western larch,1,0.381,0.956,1,0.496,
Larix occidentalis,Western larch,2,0.318,0.827,1,0.498,
Larix occidentalis,Western larch,3,0.257,0.678,1,0.505,
Larix occidentalis,Western larch,4,0.162,0.426,0.8,0.521,
Larix occidentalis,Western larch,5,0.143,0.366,0.412,0.535,
Alnus rubra,Red alder,0,0.37,0.37,NA,0.481,
Alnus rubra,Red alder,1,0.386,0.99,1,0.482,
Alnus rubra,Red alder,2,0.326,0.836,1,0.481,
Alnus rubra,Red alder,3,0.197,0.505,1,0.482,
Alnus rubra,Red alder,4,0.108,0.277,0.8,0.492,
Alnus rubra,Red alder,5,0.117,0.3,0.412,0.455,
